image_id,split,density,n_objects,mean_intensity,area_fraction,seed
train_000,train,sparse,10,0.7474760184759395,0.0193328857421875,20260715
train_001,train,normal,29,0.7361299487842413,0.0860443115234375,20260716
train_002,train,normal,17,0.7039922765057661,0.040679931640625,20260717
train_003,train,normal,36,0.7164042182738537,0.1015167236328125,20260718
train_004,train,dense,85,0.7639092066517768,0.202789306640625,20260719
train_005,train,clustered,52,0.7201398877673122,0.1045074462890625,20260720
train_006,train,sparse,5,0.7867622525416071,0.0138397216796875,20260721
train_007,train,normal,19,0.7024090935980538,0.049591064453125,20260722
train_008,train,normal,16,0.6435602548785728,0.045654296875,20260723
train_009,train,normal,21,0.7377366869636759,0.0624542236328125,20260724
train_010,train,dense,59,0.7364219356206188,0.1543426513671875,20260725
train_011,train,clustered,35,0.7704625701937904,0.0822296142578125,20260726
train_012,train,sparse,12,0.755246007907078,0.0455322265625,20260727
train_013,train,normal,31,0.8019082946357204,0.0860595703125,20260728
train_014,train,normal,35,0.7352041097451586,0.104583740234375,20260729
train_015,train,normal,38,0.7197437726718797,0.0970306396484375,20260730
train_016,train,dense,46,0.7125992544556361,0.1316680908203125,20260731
train_017,train,clustered,42,0.7822303861783456,0.091400146484375,20260732
train_018,train,sparse,7,0.6837439918724592,0.0229949951171875,20260733
train_019,train,normal,33,0.755245315818001,0.084625244140625,20260734
train_020,train,normal,22,0.714918940949997,0.0645599365234375,20260735
train_021,train,normal,15,0.7552803462666957,0.0353851318359375,20260736
train_022,train,dense,50,0.7640520688458265,0.144866943359375,20260737
train_023,train,clustered,53,0.7691960654972593,0.1005096435546875,20260738
train_024,train,sparse,9,0.6598859676043507,0.025787353515625,20260739
train_025,train,normal,22,0.7392953867116973,0.060546875,20260740
train_026,train,normal,30,0.748243284739568,0.080108642578125,20260741
train_027,train,normal,28,0.7791530544471115,0.06781005859375,20260742
train_028,train,dense,51,0.7422618983105556,0.135833740234375,20260743
train_029,train,clustered,35,0.7431695378904383,0.0946044921875,20260744
train_030,train,sparse,8,0.7341884831661754,0.027313232421875,20260745
train_031,train,normal,30,0.7345276638274636,0.07720947265625,20260746
train_032,train,normal,18,0.7317701150054374,0.040802001953125,20260747
train_033,train,normal,29,0.7331325383430348,0.0628509521484375,20260748
